Currency Name,Market Name,Bittrex Pair,Binance Pair,Market,Last Update
Litecoin,Bitcoin,BTC-LTC,LTCBTC,BTC,2022-05-03
Dogecoin,Bitcoin,BTC-DOGE,DOGEBTC,BTC,
Dash,Bitcoin,BTC-DASH,DASHBTC,BTC,
Groestlcoin,Bitcoin,BTC-GRS,GRSBTC,BTC,
Navcoin,Bitcoin,BTC-NAV,NAVBTC,BTC,
Arweave,Bitcoin,BTC-AR,ARBTC,BTC,
SysCoin,Bitcoin,BTC-SYS,SYSBTC,BTC,
DigiByte,Bitcoin,BTC-DGB,DGBBTC,BTC,
BitShares,Bitcoin,BTC-BTS,BTSBTC,BTC,
XRP,Bitcoin,BTC-XRP,XRPBTC,BTC,
Nexus,Bitcoin,BTC-NXS,NXSBTC,BTC,
NEM,Bitcoin,BTC-XEM,XEMBTC,BTC,
Ethereum,Bitcoin,BTC-ETH,ETHBTC,BTC,
Lumen,Bitcoin,BTC-XLM,XLMBTC,BTC,
Bitcoin,Tether,USDT-BTC,BTCUSDT,USDT,
Decred,Bitcoin,BTC-DCR,DCRBTC,BTC,
Verge,Bitcoin,BTC-XVG,XVGBTC,BTC,
Pivx,Bitcoin,BTC-PIVX,PIVXBTC,BTC,
STEEM,Bitcoin,BTC-STEEM,STEEMBTC,BTC,
Lisk,Bitcoin,BTC-LSK,LSKBTC,BTC,
Waves,Bitcoin,BTC-WAVES,WAVESBTC,BTC,
Ethereum Classic,Bitcoin,BTC-ETC,ETCBTC,BTC,
Ethereum Classic,Ethereum,ETH-ETC,ETCETH,ETH,
Stratis,Bitcoin,BTC-STRAX,STRAXBTC,BTC,
Ardor,Bitcoin,BTC-ARDR,ARDRBTC,BTC,
Neo,Bitcoin,BTC-NEO,NEOBTC,BTC,
ZCash,Bitcoin,BTC-ZEC,ZECBTC,BTC,
Komodo,Bitcoin,BTC-KMD,KMDBTC,BTC,
Ark,Bitcoin,BTC-ARK,ARKBTC,BTC,
Golem Network Token,Bitcoin,BTC-GLM,GLMBTC,BTC,
Golem Network Token,Ethereum,ETH-GLM,GLMETH,ETH,
Ethereum,Tether,USDT-ETH,ETHUSDT,USDT,
iEx.ec,Bitcoin,BTC-RLC,RLCBTC,BTC,
Gnosis,Bitcoin,BTC-GNO,GNOBTC,BTC,
Aragon,Bitcoin,BTC-ANT,ANTBTC,BTC,
Siacoin,Bitcoin,BTC-SC,SCBTC,BTC,
Basic Attention Token,Ethereum,ETH-BAT,BATETH,ETH,
Basic Attention Token,Bitcoin,BTC-BAT,BATBTC,BTC,
Horizen,Bitcoin,BTC-ZEN,ZENBTC,BTC,
Bancor,Bitcoin,BTC-BNT,BNTBTC,BTC,
Bancor,Ethereum,ETH-BNT,BNTETH,ETH,
Numeraire,Bitcoin,BTC-NMR,NMRBTC,BTC,
Litecoin,Ethereum,ETH-LTC,LTCETH,ETH,
XRP,Ethereum,ETH-XRP,XRPETH,ETH,
Status Network Token,Bitcoin,BTC-SNT,SNTBTC,BTC,
Status Network Token,Ethereum,ETH-SNT,SNTETH,ETH,
METAL,Bitcoin,BTC-MTL,MTLBTC,BTC,
STORJ,Bitcoin,BTC-STORJ,STORJBTC,BTC,
AdEx,Bitcoin,BTC-ADX,ADXBTC,BTC,
AdEx,Ethereum,ETH-ADX,ADXETH,ETH,
Dash,Ethereum,ETH-DASH,DASHETH,ETH,
Siacoin,Ethereum,ETH-SC,SCETH,ETH,
ZCash,Ethereum,ETH-ZEC,ZECETH,ETH,
ZCash,Tether,USDT-ZEC,ZECUSDT,USDT,
Litecoin,Tether,USDT-LTC,LTCUSDT,USDT,
Ethereum Classic,Tether,USDT-ETC,ETCUSDT,USDT,
XRP,Tether,USDT-XRP,XRPUSDT,USDT,
OMG Network,Bitcoin,BTC-OMG,OMGBTC,BTC,
OMG Network,Ethereum,ETH-OMG,OMGETH,ETH,
Civic,Bitcoin,BTC-CVC,CVCBTC,BTC,
Qtum,Bitcoin,BTC-QTUM,QTUMBTC,BTC,
Qtum,Ethereum,ETH-QTUM,QTUMETH,ETH,
Lumen,Ethereum,ETH-XLM,XLMETH,ETH,
Neo,Ethereum,ETH-NEO,NEOETH,ETH,
Dash,Tether,USDT-DASH,DASHUSDT,USDT,
Bitcoin Cash (BCHN),Tether,USDT-BCH,BCHUSDT,USDT,
Bitcoin Cash (BCHN),Bitcoin,BTC-BCH,BCHBTC,BTC,
district0x,Bitcoin,BTC-DNT,DNTBTC,BTC,
Neo,Tether,USDT-NEO,NEOUSDT,USDT,
Waves,Ethereum,ETH-WAVES,WAVESETH,ETH,
Stratis,Ethereum,ETH-STRAX,STRAXETH,ETH,
OMG Network,Tether,USDT-OMG,OMGUSDT,USDT,
Cardano,Bitcoin,BTC-ADA,ADABTC,BTC,
Decentraland,Bitcoin,BTC-MANA,MANABTC,BTC,
Decentraland,Ethereum,ETH-MANA,MANAETH,ETH,
PowerLedger,Bitcoin,BTC-POWR,POWRBTC,BTC,
PowerLedger,Ethereum,ETH-POWR,POWRETH,ETH,
Cardano,Ethereum,ETH-ADA,ADAETH,ETH,
Cardano,Tether,USDT-ADA,ADAUSDT,USDT,
Verge,Tether,USDT-XVG,XVGUSDT,USDT,
WAXP,Bitcoin,BTC-WAXP,WAXPBTC,BTC,
0x Protocol,Bitcoin,BTC-ZRX,ZRXBTC,BTC,
0x Protocol,Ethereum,ETH-ZRX,ZRXETH,ETH,
TRON,Bitcoin,BTC-TRX,TRXBTC,BTC,
TRON,Ethereum,ETH-TRX,TRXETH,ETH,
Loopring,Bitcoin,BTC-LRC,LRCBTC,BTC,
TrueUSD,Tether,USDT-TUSD,TUSDUSDT,USDT,
Siacoin,Tether,USDT-SC,SCUSDT,USDT,
TRON,Tether,USDT-TRX,TRXUSDT,USDT,
StormX,Bitcoin,BTC-STMX,STMXBTC,BTC,
StormX,Ethereum,ETH-STMX,STMXETH,ETH,
Decred,Tether,USDT-DCR,DCRUSDT,USDT,
Loom Network,Bitcoin,BTC-LOOM,LOOMBTC,BTC,
DigiByte,Tether,USDT-DGB,DGBUSDT,USDT,
RavenCoin,Bitcoin,BTC-RVN,RVNBTC,BTC,
GoChain,Bitcoin,BTC-GO,GOBTC,BTC,
Dogecoin,Tether,USDT-DOGE,DOGEUSDT,USDT,
Enjin,Bitcoin,BTC-ENJ,ENJBTC,BTC,
0x Protocol,Tether,USDT-ZRX,ZRXUSDT,USDT,
Basic Attention Token,Tether,USDT-BAT,BATUSDT,USDT,
RavenCoin,Tether,USDT-RVN,RVNUSDT,USDT,
Zilliqa,Bitcoin,BTC-ZIL,ZILBTC,BTC,
IOST,Bitcoin,BTC-IOST,IOSTBTC,BTC,
Vite,Bitcoin,BTC-VITE,VITEBTC,BTC,
IoTeX,Bitcoin,BTC-IOTX,IOTXBTC,BTC,
Quant,Bitcoin,BTC-QNT,QNTBTC,BTC,
NKN,Bitcoin,BTC-NKN,NKNBTC,BTC,
Cortex,Bitcoin,BTC-CTXC,CTXCBTC,BTC,
Ankr,Bitcoin,BTC-ANKR,ANKRBTC,BTC,
Lumen,Tether,USDT-XLM,XLMUSDT,USDT,
Ontology,Bitcoin,BTC-ONT,ONTBTC,BTC,
OntologyGas,Bitcoin,BTC-ONG,ONGBTC,BTC,
Enjin,Tether,USDT-ENJ,ENJUSDT,USDT,
Ontology,Tether,USDT-ONT,ONTUSDT,USDT,
Cosmos,Bitcoin,BTC-ATOM,ATOMBTC,BTC,
Cosmos,Tether,USDT-ATOM,ATOMUSDT,USDT,
Cosmos,Ethereum,ETH-ATOM,ATOMETH,ETH,
Ocean Protocol,Bitcoin,BTC-OCEAN,OCEANBTC,BTC,
Ocean Protocol,Tether,USDT-OCEAN,OCEANUSDT,USDT,
Synthetix Network Token,Bitcoin,BTC-SNX,SNXBTC,BTC,
Standard Tokenization Protocol,Bitcoin,BTC-STPT,STPTBTC,BTC,
Maker,Bitcoin,BTC-MKR,MKRBTC,BTC,
Prometeus,Bitcoin,BTC-PROM,PROMBTC,BTC,
EOS,Bitcoin,BTC-EOS,EOSBTC,BTC,
EOS,Ethereum,ETH-EOS,EOSETH,ETH,
EOS,Tether,USDT-EOS,EOSUSDT,USDT,
Amp,Bitcoin,BTC-AMP,AMPBTC,BTC,
Dusk Network,Bitcoin,BTC-DUSK,DUSKBTC,BTC,
Terra,Bitcoin,BTC-LUNA,LUNABTC,BTC,
UTRUST,Bitcoin,BTC-UTK,UTKBTC,BTC,
Akropolis,Bitcoin,BTC-AKRO,AKROBTC,BTC,
Hedera Hashgraph,Bitcoin,BTC-HBAR,HBARBTC,BTC,
Hedera Hashgraph,Tether,USDT-HBAR,HBARUSDT,USDT,
VeChain,Bitcoin,BTC-VET,VETBTC,BTC,
VeChain,Tether,USDT-VET,VETUSDT,USDT,
Chainlink,Bitcoin,BTC-LINK,LINKBTC,BTC,
Tezos,Bitcoin,BTC-XTZ,XTZBTC,BTC,
Tezos,Ethereum,ETH-XTZ,XTZETH,ETH,
Tezos,Tether,USDT-XTZ,XTZUSDT,USDT,
IOTA,Bitcoin,BTC-IOTA,IOTABTC,BTC,
Chainlink,Ethereum,ETH-LINK,LINKETH,ETH,
Chainlink,Tether,USDT-LINK,LINKUSDT,USDT,
Numeraire,Tether,USDT-NMR,NMRUSDT,USDT,
Nervos,Bitcoin,BTC-CKB,CKBBTC,BTC,
Nervos,Tether,USDT-CKB,CKBUSDT,USDT,
WAXP,Tether,USDT-WAXP,WAXPUSDT,USDT,
Hive,Bitcoin,BTC-HIVE,HIVEBTC,BTC,
Swipe,Bitcoin,BTC-SXP,SXPBTC,BTC,
IRISnet,Bitcoin,BTC-IRIS,IRISBTC,BTC,
IRISnet,Tether,USDT-IRIS,IRISUSDT,USDT,
Bitcoin,Euro,EUR-BTC,BTCEUR,EUR,
Ethereum,Euro,EUR-ETH,ETHEUR,EUR,
Bitcoin Cash (BCHN),Euro,EUR-BCH,BCHEUR,EUR,
TRON,Euro,EUR-TRX,TRXEUR,EUR,
Origin Protocol,Bitcoin,BTC-OGN,OGNBTC,BTC,
Algorand,Bitcoin,BTC-ALGO,ALGOBTC,BTC,
Orchid,Bitcoin,BTC-OXT,OXTBTC,BTC,
Orchid,Tether,USDT-OXT,OXTUSDT,USDT,
ICON,Bitcoin,BTC-ICX,ICXBTC,BTC,
USD Coin,Tether,USDT-USDC,USDCUSDT,USDT,
Measurable Data Token,Bitcoin,BTC-MDT,MDTBTC,BTC,
Measurable Data Token,Tether,USDT-MDT,MDTUSDT,USDT,
Hive,Tether,USDT-HIVE,HIVEUSDT,USDT,
Enjin,Ethereum,ETH-ENJ,ENJETH,ETH,
Algorand,Tether,USDT-ALGO,ALGOUSDT,USDT,
Celo Native Asset,Bitcoin,BTC-CELO,CELOBTC,BTC,
Celo Native Asset,Tether,USDT-CELO,CELOUSDT,USDT,
Kadena,Bitcoin,BTC-KDA,KDABTC,BTC,
Kadena,Tether,USDT-KDA,KDAUSDT,USDT,
Compound,Bitcoin,BTC-COMP,COMPBTC,BTC,
Compound,Tether,USDT-COMP,COMPUSDT,USDT,
Terra,Tether,USDT-LUNA,LUNAUSDT,USDT,
Wrapped Bitcoin,Bitcoin,BTC-WBTC,WBTCBTC,BTC,
Wrapped Bitcoin,Ethereum,ETH-WBTC,WBTCETH,ETH,
The Force Protocol,Bitcoin,BTC-FOR,FORBTC,BTC,
Kusama,Bitcoin,BTC-KSM,KSMBTC,BTC,
Kusama,Ethereum,ETH-KSM,KSMETH,ETH,
Kusama,Tether,USDT-KSM,KSMUSDT,USDT,
Polkadot,Bitcoin,BTC-DOT,DOTBTC,BTC,
Polkadot,Ethereum,ETH-DOT,DOTETH,ETH,
Polkadot,Tether,USDT-DOT,DOTUSDT,USDT,
Polkadot,Euro,EUR-DOT,DOTEUR,EUR,
Klaytn,Bitcoin,BTC-KLAY,KLAYBTC,BTC,
Klaytn,Tether,USDT-KLAY,KLAYUSDT,USDT,
TerraUST,Tether,USDT-UST,USTUSDT,USDT,
Maker,Tether,USDT-MKR,MKRUSDT,USDT,
Polygon,Bitcoin,BTC-MATIC,MATICBTC,BTC,
Polygon,Tether,USDT-MATIC,MATICUSDT,USDT,
Uniswap,Bitcoin,BTC-UNI,UNIBTC,BTC,
Uniswap,Ethereum,ETH-UNI,UNIETH,ETH,
Uniswap,Tether,USDT-UNI,UNIUSDT,USDT,
Filecoin,Bitcoin,BTC-FIL,FILBTC,BTC,
Filecoin,Tether,USDT-FIL,FILUSDT,USDT,
QLC,Bitcoin,BTC-QLC,QLCBTC,BTC,
UMA,Bitcoin,BTC-UMA,UMABTC,BTC,
UMA,Tether,USDT-UMA,UMAUSDT,USDT,
Aave Token,Bitcoin,BTC-AAVE,AAVEBTC,BTC,
Aave Token,Ethereum,ETH-AAVE,AAVEETH,ETH,
Aave Token,Tether,USDT-AAVE,AAVEUSDT,USDT,
Balancer,Bitcoin,BTC-BAL,BALBTC,BTC,
Balancer,Tether,USDT-BAL,BALUSDT,USDT,
Ren,Bitcoin,BTC-REN,RENBTC,BTC,
Ren,Tether,USDT-REN,RENUSDT,USDT,
Kyber Network Crystal,Bitcoin,BTC-KNC,KNCBTC,BTC,
Kyber Network Crystal,Ethereum,ETH-KNC,KNCETH,ETH,
Kyber Network Crystal,Tether,USDT-KNC,KNCUSDT,USDT,
Band Protocol,Bitcoin,BTC-BAND,BANDBTC,BTC,
Band Protocol,Tether,USDT-BAND,BANDUSDT,USDT,
XRP,Euro,EUR-XRP,XRPEUR,EUR,
Cardano,Euro,EUR-ADA,ADAEUR,EUR,
Lumen,Euro,EUR-XLM,XLMEUR,EUR,
The Graph,Bitcoin,BTC-GRT,GRTBTC,BTC,
The Graph,Ethereum,ETH-GRT,GRTETH,ETH,
The Graph,Euro,EUR-GRT,GRTEUR,EUR,
The Graph,Tether,USDT-GRT,GRTUSDT,USDT,
SAND,Tether,USDT-SAND,SANDUSDT,USDT,
