Ticker,Company,Currency,Currency_Name,Last Update
MMM,3M,USD,US Dollar,2022-07-05
AOS,A. O. Smith,USD,US Dollar,
ABT,Abbott,USD,US Dollar,
ABBV,AbbVie,USD,US Dollar,
ABMD,Abiomed,USD,US Dollar,
ACN,Accenture,EUR,Euro,
ATVI,Activision Blizzard,USD,US Dollar,
ADM,ADM,USD,US Dollar,
ADBE,Adobe Inc.,USD,US Dollar,
ADP,ADP,USD,US Dollar,
AAP,Advance Auto Parts,USD,US Dollar,
AES,AES Corporation,USD,US Dollar,
AFL,Aflac,USD,US Dollar,
A,Agilent Technologies,USD,US Dollar,
APD,Air Products and Chemicals,USD,US Dollar,
AKAM,Akamai,USD,US Dollar,
ALK,Alaska Air Group,USD,US Dollar,
ALB,Albemarle Corporation,USD,US Dollar,
ARE,Alexandria Real Estate Equities,USD,US Dollar,
ALGN,Align Technology,USD,US Dollar,
ALLE,Allegion,USD,US Dollar,
LNT,Alliant Energy,USD,US Dollar,
ALL,Allstate,USD,US Dollar,
GOOGL,Alphabet Inc. (Class A),USD,US Dollar,
GOOG,Alphabet Inc. (Class C),USD,US Dollar,
MO,Altria,USD,US Dollar,
AMZN,Amazon,USD,US Dollar,
AMCR,Amcor,GBP,British Pound,
AMD,AMD,USD,US Dollar,
AEE,Ameren,USD,US Dollar,
AAL,American Airlines Group,USD,US Dollar,
AEP,American Electric Power,USD,US Dollar,
AXP,American Express,USD,US Dollar,
AIG,American International Group,USD,US Dollar,
AMT,American Tower,USD,US Dollar,
AWK,American Water Works,USD,US Dollar,
AMP,Ameriprise Financial,USD,US Dollar,
ABC,AmerisourceBergen,USD,US Dollar,
AME,Ametek,USD,US Dollar,
AMGN,Amgen,USD,US Dollar,
APH,Amphenol,USD,US Dollar,
ADI,Analog Devices,USD,US Dollar,
ANSS,Ansys,USD,US Dollar,
AON,Aon,GBP,British Pound,
APA,APA Corporation,USD,US Dollar,
AAPL,Apple Inc.,USD,US Dollar,
AMAT,Applied Materials,USD,US Dollar,
APTV,Aptiv,EUR,Euro,
ANET,Arista Networks,USD,US Dollar,
AJG,Arthur J. Gallagher & Co.,USD,US Dollar,
AIZ,Assurant,USD,US Dollar,
T,AT&T,USD,US Dollar,
ATO,Atmos Energy,USD,US Dollar,
ADSK,Autodesk,USD,US Dollar,
AZO,AutoZone,USD,US Dollar,
AVB,AvalonBay Communities,USD,US Dollar,
AVY,Avery Dennison,USD,US Dollar,
BKR,Baker Hughes,USD,US Dollar,
BALL,Ball Corporation,USD,US Dollar,
BAC,Bank of America,USD,US Dollar,
BBWI,"Bath & Body Works, Inc.",USD,US Dollar,
BAX,Baxter International,USD,US Dollar,
BDX,Becton Dickinson,USD,US Dollar,
WRB,Berkley,USD,US Dollar,
BRK.B,Berkshire Hathaway,USD,US Dollar,
BBY,Best Buy,USD,US Dollar,
BIO,Bio-Rad,USD,US Dollar,
TECH,Bio-Techne,USD,US Dollar,
BIIB,Biogen,USD,US Dollar,
BLK,BlackRock,USD,US Dollar,
BK,BNY Mellon,USD,US Dollar,
BA,Boeing,USD,US Dollar,
BKNG,Booking Holdings,USD,US Dollar,
BWA,BorgWarner,USD,US Dollar,
BXP,Boston Properties,USD,US Dollar,
BSX,Boston Scientific,USD,US Dollar,
BMY,Bristol Myers Squibb,USD,US Dollar,
AVGO,Broadcom Inc.,USD,US Dollar,
BR,Broadridge Financial Solutions,USD,US Dollar,
BRO,Brown & Brown,USD,US Dollar,
BF.B,Brown–Forman,USD,US Dollar,
CHRW,C.H. Robinson,USD,US Dollar,
CDNS,Cadence Design Systems,USD,US Dollar,
CZR,Caesars Entertainment,USD,US Dollar,
CPT,Camden Property Trust,USD,US Dollar,
CPB,Campbell Soup Company,USD,US Dollar,
COF,Capital One,USD,US Dollar,
CAH,Cardinal Health,USD,US Dollar,
KMX,CarMax,USD,US Dollar,
CCL,Carnival,USD,US Dollar,
CARR,Carrier Global,USD,US Dollar,
CTLT,Catalent,USD,US Dollar,
CAT,Caterpillar Inc.,USD,US Dollar,
CBOE,Cboe Global Markets,USD,US Dollar,
CBRE,CBRE Group,USD,US Dollar,
CDW,CDW,USD,US Dollar,
CE,Celanese,USD,US Dollar,
CNC,Centene Corporation,USD,US Dollar,
CNP,CenterPoint Energy,USD,US Dollar,
CDAY,Ceridian,USD,US Dollar,
CF,CF Industries,USD,US Dollar,
CRL,Charles River Laboratories,USD,US Dollar,
SCHW,Charles Schwab Corporation,USD,US Dollar,
CHTR,Charter Communications,USD,US Dollar,
CVX,Chevron Corporation,USD,US Dollar,
CMG,Chipotle Mexican Grill,USD,US Dollar,
CB,Chubb Limited,CHf,Swiss franc,
CHD,Church & Dwight,USD,US Dollar,
CI,Cigna,USD,US Dollar,
CINF,Cincinnati Financial,USD,US Dollar,
CTAS,Cintas,USD,US Dollar,
CSCO,Cisco,USD,US Dollar,
C,Citigroup,USD,US Dollar,
CFG,Citizens Financial Group,USD,US Dollar,
CTXS,Citrix,USD,US Dollar,
CLX,Clorox,USD,US Dollar,
CME,CME Group,USD,US Dollar,
CMS,CMS Energy,USD,US Dollar,
KO,The Coca-Cola Company,USD,US Dollar,
CTSH,Cognizant,USD,US Dollar,
CL,Colgate-Palmolive,USD,US Dollar,
